selection_method,fraction,training_percent,n_samples,seed,subset_nn_distance_min,subset_nn_distance_median,subset_nn_distance_max,train_omega_q_mean_pct,train_alpha_mean_pct,train_mean_hamiltonian_pct,val_omega_q_mean_pct,val_alpha_mean_pct,val_mean_hamiltonian_pct,test_omega_q_mean_pct,test_alpha_mean_pct,test_mean_hamiltonian_pct
far_to_near_by_heldout_geometry_nn_distance,0.3,30.0,406,1,0.030303030303030387,0.04285495643554834,0.09090909090909094,0.5664414132008104,1.2577639414199515,0.9121026773103809,0.6573470456717854,1.6173763194131052,1.1373616825424453,0.6390090397656257,1.5842399806524248,1.1116245102090252
far_to_near_by_heldout_geometry_nn_distance,0.3,30.0,406,2,0.030303030303030387,0.04285495643554834,0.09090909090909094,0.7374521047375749,1.752236217621329,1.244844161179452,0.6777030417099372,1.697156845231425,1.1874299434706812,0.6783589618223362,1.6056004415391696,1.141979701680753
far_to_near_by_heldout_geometry_nn_distance,0.5,50.0,676,0,0.030303030303030304,0.0428549564355483,0.09090909090909094,0.2612799562521347,1.17488832471847,0.7180841404853023,0.26863710112247763,1.163774393977802,0.7162057475501399,0.3132589262830957,1.1626035133217094,0.7379312198024025
far_to_near_by_heldout_geometry_nn_distance,0.5,50.0,676,1,0.030303030303030304,0.0428549564355483,0.09090909090909094,0.47621979496811806,1.0995723726552702,0.7878960838116943,0.5697711138822219,1.2805345054486892,0.9251528096654558,0.5527963679812213,1.2063046276392613,0.8795504978102412
far_to_near_by_heldout_geometry_nn_distance,0.5,50.0,676,2,0.030303030303030304,0.0428549564355483,0.09090909090909094,0.3979037544016829,0.5194461616765054,0.45867495803909414,0.45342101975961474,0.5221081262036626,0.4877645729816387,0.44853182820023146,0.5191080394443737,0.4838199338223025
far_to_near_by_heldout_geometry_nn_distance,0.7,70.0,947,0,0.030303030303030276,0.03030303030303033,0.09090909090909094,0.1743726224633451,0.701647598126045,0.43801011029469505,0.18514660295258203,0.7647249171073025,0.47493576002994237,0.18491618114744685,0.7883885599696183,0.48665237055853255
far_to_near_by_heldout_geometry_nn_distance,0.7,70.0,947,1,0.030303030303030276,0.03030303030303033,0.09090909090909094,0.4828213859670082,0.7481102541281106,0.6154658200475593,0.5831520338488931,0.8776952301141099,0.7304236319815016,0.5610512585096551,0.8087606585637955,0.6849059585367253
far_to_near_by_heldout_geometry_nn_distance,0.7,70.0,947,2,0.030303030303030276,0.03030303030303033,0.09090909090909094,0.42004386640288083,0.7912686220471308,0.6056562442250056,0.4466694454406516,0.8714346006123997,0.6590520230265258,0.4521690497856246,0.8648080672926912,0.6584885585391579
far_to_near_by_heldout_geometry_nn_distance,1.0,100.0,1353,0,0.030303030303030276,0.030303030303030304,0.09090909090909094,0.13216423678039688,0.5158419305382634,0.3240030836593302,0.13075537867522996,0.5465537361886232,0.33865455743192663,0.1692411512197787,0.6062356933971743,0.3877384223084765
far_to_near_by_heldout_geometry_nn_distance,1.0,100.0,1353,1,0.030303030303030276,0.030303030303030304,0.09090909090909094,0.33698599739168034,0.6408791516208848,0.4889325745062826,0.3667838804186537,0.6699323679958726,0.5183581242072632,0.3751921204457448,0.6864425378949842,0.5308173291703646
far_to_near_by_heldout_geometry_nn_distance,1.0,100.0,1353,2,0.030303030303030276,0.030303030303030304,0.09090909090909094,0.21545831811138613,0.6298350483667763,0.4226466832390812,0.22269123919602662,0.667752414577727,0.4452218268868768,0.23634276736644538,0.684040397405522,0.4601915823859837
